Category,ID,Latitude,Longitude,Date,MODIS_Tile,MOD17A3HGF_061_Line_Y_500m,MOD17A3HGF_061_Sample_X_500m,MOD17A3HGF_061_Npp_500m,MOD17A3HGF_061_Npp_QC_500m,MOD17A3HGF_061_Npp_QC_500m_bitmask,MOD17A3HGF_061_Npp_QC_500m_ContinuousLayer,MOD17A3HGF_061_Npp_QC_500m_ContinuousLayer_Description
4480,4480,-0.3227744017,130.693590747,2001-01-01,h31v09,77.0,165.0,32766.0,254.0,0b11111110,0b0,Continuous
4480,4480,-0.3227744017,130.693590747,2002-01-01,h31v09,77.0,165.0,32766.0,254.0,0b11111110,0b0,Continuous
4480,4480,-0.3227744017,130.693590747,2003-01-01,h31v09,77.0,165.0,32766.0,254.0,0b11111110,0b0,Continuous
4480,4480,-0.3227744017,130.693590747,2004-01-01,h31v09,77.0,165.0,32766.0,254.0,0b11111110,0b0,Continuous
4482,4482,-0.3240674942,130.240025135,2001-01-01,h31v09,77.0,57.0,32766.0,254.0,0b11111110,0b0,Continuous
4482,4482,-0.3240674942,130.240025135,2002-01-01,h31v09,77.0,57.0,32766.0,254.0,0b11111110,0b0,Continuous
4482,4482,-0.3240674942,130.240025135,2003-01-01,h31v09,77.0,57.0,32766.0,254.0,0b11111110,0b0,Continuous
4482,4482,-0.3240674942,130.240025135,2004-01-01,h31v09,77.0,57.0,32766.0,254.0,0b11111110,0b0,Continuous
4483,4483,-0.3204444348,130.61496504,2001-01-01,h31v09,76.0,147.0,32766.0,254.0,0b11111110,0b0,Continuous
4483,4483,-0.3204444348,130.61496504,2002-01-01,h31v09,76.0,147.0,32766.0,254.0,0b11111110,0b0,Continuous
4483,4483,-0.3204444348,130.61496504,2003-01-01,h31v09,76.0,147.0,32766.0,254.0,0b11111110,0b0,Continuous
4483,4483,-0.3204444348,130.61496504,2004-01-01,h31v09,76.0,147.0,32766.0,254.0,0b11111110,0b0,Continuous
4484,4484,-0.3355881403,130.198131833,2001-01-01,h31v09,80.0,47.0,32766.0,254.0,0b11111110,0b0,Continuous
4484,4484,-0.3355881403,130.198131833,2002-01-01,h31v09,80.0,47.0,32766.0,254.0,0b11111110,0b0,Continuous
4484,4484,-0.3355881403,130.198131833,2003-01-01,h31v09,80.0,47.0,32766.0,254.0,0b11111110,0b0,Continuous
4484,4484,-0.3355881403,130.198131833,2004-01-01,h31v09,80.0,47.0,32766.0,254.0,0b11111110,0b0,Continuous
4486,4486,-0.3187839761,131.096645928,2001-01-01,h31v09,76.0,262.0,32766.0,254.0,0b11111110,0b0,Continuous
4486,4486,-0.3187839761,131.096645928,2002-01-01,h31v09,76.0,262.0,32766.0,254.0,0b11111110,0b0,Continuous
4486,4486,-0.3187839761,131.096645928,2003-01-01,h31v09,76.0,262.0,32766.0,254.0,0b11111110,0b0,Continuous
4486,4486,-0.3187839761,131.096645928,2004-01-01,h31v09,76.0,262.0,32766.0,254.0,0b11111110,0b0,Continuous
4487,4487,-0.3187715976,130.60999722,2001-01-01,h31v09,76.0,145.0,32766.0,254.0,0b11111110,0b0,Continuous
4487,4487,-0.3187715976,130.60999722,2002-01-01,h31v09,76.0,145.0,32766.0,254.0,0b11111110,0b0,Continuous
4487,4487,-0.3187715976,130.60999722,2003-01-01,h31v09,76.0,145.0,32766.0,254.0,0b11111110,0b0,Continuous
4487,4487,-0.3187715976,130.60999722,2004-01-01,h31v09,76.0,145.0,32766.0,254.0,0b11111110,0b0,Continuous
4488,4488,-0.3226916005,130.375260342,2001-01-01,h31v09,77.0,89.0,32766.0,254.0,0b11111110,0b0,Continuous
4488,4488,-0.3226916005,130.375260342,2002-01-01,h31v09,77.0,89.0,32766.0,254.0,0b11111110,0b0,Continuous
4488,4488,-0.3226916005,130.375260342,2003-01-01,h31v09,77.0,89.0,32766.0,254.0,0b11111110,0b0,Continuous
4488,4488,-0.3226916005,130.375260342,2004-01-01,h31v09,77.0,89.0,32766.0,254.0,0b11111110,0b0,Continuous
4489,4489,-0.317876422,130.386759257,2001-01-01,h31v09,76.0,92.0,32766.0,254.0,0b11111110,0b0,Continuous
4489,4489,-0.317876422,130.386759257,2002-01-01,h31v09,76.0,92.0,32766.0,254.0,0b11111110,0b0,Continuous
4489,4489,-0.317876422,130.386759257,2003-01-01,h31v09,76.0,92.0,32766.0,254.0,0b11111110,0b0,Continuous
4489,4489,-0.317876422,130.386759257,2004-01-01,h31v09,76.0,92.0,32766.0,254.0,0b11111110,0b0,Continuous
4492,4492,-0.319089187,130.640700423,2001-01-01,h31v09,76.0,153.0,32766.0,254.0,0b11111110,0b0,Continuous
4492,4492,-0.319089187,130.640700423,2002-01-01,h31v09,76.0,153.0,32766.0,254.0,0b11111110,0b0,Continuous
4492,4492,-0.319089187,130.640700423,2003-01-01,h31v09,76.0,153.0,32766.0,254.0,0b11111110,0b0,Continuous
4492,4492,-0.319089187,130.640700423,2004-01-01,h31v09,76.0,153.0,32766.0,254.0,0b11111110,0b0,Continuous
4495,4495,-0.3164206342,130.625640876,2001-01-01,h31v09,75.0,149.0,32766.0,254.0,0b11111110,0b0,Continuous
4495,4495,-0.3164206342,130.625640876,2002-01-01,h31v09,75.0,149.0,32766.0,254.0,0b11111110,0b0,Continuous
4495,4495,-0.3164206342,130.625640876,2003-01-01,h31v09,75.0,149.0,32766.0,254.0,0b11111110,0b0,Continuous
4495,4495,-0.3164206342,130.625640876,2004-01-01,h31v09,75.0,149.0,32766.0,254.0,0b11111110,0b0,Continuous
4496,4496,-0.3179041747,130.349717074,2001-01-01,h31v09,76.0,83.0,32766.0,254.0,0b11111110,0b0,Continuous
4496,4496,-0.3179041747,130.349717074,2002-01-01,h31v09,76.0,83.0,32766.0,254.0,0b11111110,0b0,Continuous
4496,4496,-0.3179041747,130.349717074,2003-01-01,h31v09,76.0,83.0,32766.0,254.0,0b11111110,0b0,Continuous
4496,4496,-0.3179041747,130.349717074,2004-01-01,h31v09,76.0,83.0,32766.0,254.0,0b11111110,0b0,Continuous
4497,4497,-0.3141819644,130.622901917,2001-01-01,h31v09,75.0,149.0,32766.0,254.0,0b11111110,0b0,Continuous
4497,4497,-0.3141819644,130.622901917,2002-01-01,h31v09,75.0,149.0,32766.0,254.0,0b11111110,0b0,Continuous
4497,4497,-0.3141819644,130.622901917,2003-01-01,h31v09,75.0,149.0,32766.0,254.0,0b11111110,0b0,Continuous
4497,4497,-0.3141819644,130.622901917,2004-01-01,h31v09,75.0,149.0,32766.0,254.0,0b11111110,0b0,Continuous
4499,4499,-0.3146588091,130.513234765,2001-01-01,h31v09,75.0,122.0,0.6709,35.0,0b00100011,0b0,Continuous
4499,4499,-0.3146588091,130.513234765,2002-01-01,h31v09,75.0,122.0,1.1244,47.0,0b00101111,0b0,Continuous
4499,4499,-0.3146588091,130.513234765,2003-01-01,h31v09,75.0,122.0,0.8188,48.0,0b00110000,0b0,Continuous
4499,4499,-0.3146588091,130.513234765,2004-01-01,h31v09,75.0,122.0,0.8698,44.0,0b00101100,0b0,Continuous
